int_no,rank
906,1
633,2
481,3
601,4
6736,5
1249,6
8256,7
1092,8
444,9
931,10
863,11
356,12
539,13
416,14
128,15
317,16
386,17
316,18
1093,19
361,20
190,21
1005,22
428,23
778,24
47,25
8830,26
533,27
846,28
16661,29
887,30
797,31
419,32
933,33
602,34
1020,35
1031,36
137,37
374,38
4481,39
145,40
642,41
1757,42
629,43
595,44
1086,45
421,46
493,47
1002,48
149,49
708,50
142,51
738,52
460,53
1043,54
8863,55
443,56
1046,57
1064,58
330,59
1089,60
1520,61
9146,62
286,63
914,64
326,65
15748,66
888,67
1266,68
886,69
517,70
1029,71
7195,72
284,73
441,74
1058,75
417,76
8979,77
468,78
368,79
345,80
1761,81
1633,82
593,83
344,84
1176,85
16918,86
843,87
547,88
648,89
8852,90
8768,91
7149,92
1198,93
165,94
352,95
904,96
16660,97
308,98
1117,99
1039,100
628,101
1120,102
1101,103
1431,104
1041,105
357,106
364,107
351,108
371,109
335,110
507,111
1269,112
502,113
543,114
10475,115
758,116
641,117
411,118
538,119
898,120
1677,121
1284,122
445,123
1090,124
221,125
951,126
152,127
12703,128
1034,129
36,130
1375,131
281,132
108,133
219,134
13332,135
8888,136
1022,137
367,138
16042,139
420,140
406,141
157,142
1070,143
558,144
873,145
474,146
704,147
313,148
891,149
546,150
1685,151
211,152
805,153
872,154
478,155
144,156
16115,157
1016,158
1167,159
1047,160
1189,161
164,162
894,163
1283,164
432,165
1161,166
858,167
6044,168
10194,169
1040,170
160,171
1138,172
868,173
712,174
109,175
1206,176
422,177
410,178
8845,179
865,180
305,181
5843,182
1069,183
388,184
1168,185
1229,186
385,187
298,188
2,189
425,190
618,191
1052,192
1599,193
384,194
158,195
5229,196
1151,197
651,198
1030,199
897,200
325,201
867,202
842,203
685,204
928,205
283,206
9462,207
9028,208
606,209
782,210
1281,211
910,212
163,213
504,214
631,215
302,216
1049,217
938,218
1588,219
847,220
668,221
10271,222
1224,223
331,224
506,225
501,226
1510,227
1278,228
407,229
1073,230
15743,231
9034,232
514,233
713,234
1075,235
711,236
295,237
13288,238
1326,239
353,240
333,241
266,242
171,243
13281,244
461,245
8747,246
1104,247
135,248
1111,249
905,250
1121,251
535,252
6823,253
494,254
1622,255
1068,256
1242,257
14713,258
13283,259
1671,260
1869,261
885,262
413,263
291,264
1524,265
1071,266
346,267
127,268
671,269
924,270
939,271
6207,272
1213,273
1446,274
869,275
72,276
912,277
484,278
861,279
1674,280
13284,281
306,282
7,283
597,284
337,285
1139,286
363,287
896,288
544,289
5914,290
154,291
942,292
1260,293
8548,294
908,295
467,296
358,297
292,298
1132,299
475,300
412,301
1187,302
339,303
555,304
366,305
402,306
348,307
1013,308
285,309
418,310
130,311
8890,312
1379,313
14628,314
1048,315
1000,316
1118,317
334,318
294,319
1181,320
1239,321
1528,322
508,323
396,324
1042,325
1207,326
884,327
175,328
477,329
1295,330
390,331
442,332
549,333
9452,334
120,335
561,336
745,337
218,338
4852,339
540,340
1115,341
1246,342
1210,343
237,344
16913,345
1103,346
13660,347
297,348
3443,349
1098,350
1011,351
929,352
1521,353
497,354
731,355
1199,356
1282,357
74,358
362,359
183,360
485,361
920,362
902,363
53,364
1186,365
915,366
588,367
1131,368
615,369
580,370
2190,371
709,372
8884,373
715,374
182,375
1557,376
1038,377
1358,378
594,379
1122,380
1001,381
16917,382
1137,383
1482,384
699,385
1149,386
56,387
13293,388
9,389
585,390
545,391
1023,392
1237,393
1202,394
9825,395
1055,396
342,397
500,398
1310,399
1128,400
1072,401
151,402
147,403
971,404
307,405
960,406
1102,407
492,408
293,409
50,410
1351,411
499,412
923,413
511,414
2363,415
110,416
296,417
789,418
841,419
341,420
1251,421
288,422
844,423
1688,424
111,425
1204,426
1209,427
703,428
373,429
1074,430
8891,431
340,432
934,433
901,434
489,435
1116,436
1066,437
551,438
589,439
788,440
1067,441
13291,442
304,443
370,444
273,445
8699,446
570,447
17249,448
112,449
550,450
880,451
1544,452
429,453
309,454
10,455
534,456
583,457
439,458
13286,459
542,460
495,461
2232,462
1462,463
895,464
287,465
121,466
1165,467
16909,468
1162,469
8610,470
289,471
1376,472
31,473
1312,474
1726,475
1232,476
5458,477
1197,478
1541,479
267,480
871,481
17635,482
2303,483
146,484
150,485
1519,486
1294,487
355,488
883,489
427,490
1424,491
354,492
1141,493
299,494
91,495
795,496
1495,497
11010,498
1301,499
365,500
849,501
773,502
669,503
573,504
864,505
903,506
1425,507
9455,508
17141,509
132,510
376,511
1300,512
4,513
414,514
736,515
1110,516
1392,517
9862,518
378,519
1684,520
100,521
1087,522
